label,capture_id,source_run_id,node_id,sample_index,timestamp_iso,dataset_split,dbfs,f_peak_acoustic_hz,low_rumble_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,band_bass_peak_hz,band_low_mid_peak_hz,band_mid_peak_hz,band_presence_peak_hz,band_high_peak_hz,dominant_band_ratio,dominant_band_peak_hz,fft_low_ratio,fft_mid_ratio,fft_high_ratio,fft_total_energy
low,capture_20260719201551,capture_20260719201551,node02,13,2026-07-19T20:16:11.311Z,training,-87.18,281.2,0.3823,0.292385,0.353068,0.157209,0.079281,0.118056,140.6,281.2,656.2,2953.1,5156.2,0.353068,281.2,0.422819,0.432116,0.145064,0.0008981982
low,capture_20260719201551,capture_20260719201551,node02,14,2026-07-19T20:16:12.244Z,training,-86.67,609.4,0.217693,0.14043,0.138314,0.373158,0.174694,0.173404,46.9,187.5,609.4,3656.2,7218.8,0.373158,609.4,0.219447,0.50212,0.278433,0.0005653095
low,capture_20260719201551,capture_20260719201551,node03,14,2026-07-19T20:16:12.287Z,training,-87.33,328.1,0.287435,0.254862,0.38666,0.166686,0.09002,0.101772,93.8,328.1,1031.2,2531.2,10125,0.38666,328.1,0.356252,0.494976,0.148773,0.0009915119
low,capture_20260719201551,capture_20260719201551,node01,14,2026-07-19T20:16:12.289Z,training,-83.96,328.1,0.27643,0.252503,0.447255,0.247045,0.024993,0.028205,46.9,328.1,984.4,2203.1,7359.4,0.447255,328.1,0.288826,0.672577,0.038596,0.003721437
low,capture_20260719201551,capture_20260719201551,node04,14,2026-07-19T20:16:12.302Z,training,-86.6,796.9,0.356929,0.32559,0.090302,0.329233,0.127679,0.127196,46.9,468.8,796.9,2156.2,6562.5,0.329233,796.9,0.365624,0.430166,0.20421,0.00092553
low,capture_20260719201551,capture_20260719201551,node04,15,2026-07-19T20:16:13.252Z,training,-86.55,234.4,0.446709,0.361158,0.189398,0.216715,0.107491,0.125237,46.9,234.4,515.6,2484.4,5671.9,0.361158,46.9,0.513651,0.305,0.181349,0.0009252523
low,capture_20260719201551,capture_20260719201551,node01,15,2026-07-19T20:16:13.259Z,training,-83.31,234.4,0.582887,0.495714,0.219532,0.121133,0.079249,0.084372,46.9,234.4,609.4,2343.8,5812.5,0.495714,46.9,0.65111,0.223769,0.125121,0.001257959
low,capture_20260719201551,capture_20260719201551,node03,15,2026-07-19T20:16:13.261Z,training,-86.78,328.1,0.542547,0.451372,0.240149,0.172869,0.063862,0.071747,46.9,187.5,562.5,2953.1,5812.5,0.451372,46.9,0.565605,0.326871,0.107525,0.001631332
low,capture_20260719201551,capture_20260719201551,node02,15,2026-07-19T20:16:13.270Z,training,-86.98,281.2,0.541802,0.500588,0.26359,0.099669,0.057795,0.078358,46.9,281.2,515.6,2906.2,6281.2,0.500588,46.9,0.578486,0.316758,0.104756,0.001552133
low,capture_20260719201551,capture_20260719201551,node04,16,2026-07-19T20:16:14.237Z,training,-86.32,234.4,0.297922,0.237237,0.325843,0.241564,0.088373,0.106983,46.9,234.4,843.8,2062.5,5671.9,0.325843,234.4,0.458563,0.391728,0.14971,0.001091173
low,capture_20260719201551,capture_20260719201551,node03,16,2026-07-19T20:16:14.250Z,training,-86.68,421.9,0.19475,0.113227,0.303238,0.301438,0.135891,0.146207,140.6,421.9,937.5,2015.6,8859.4,0.303238,421.9,0.19621,0.589643,0.214147,0.0006869854
low,capture_20260719201551,capture_20260719201551,node01,16,2026-07-19T20:16:14.259Z,training,-79.53,421.9,0.130098,0.125038,0.392652,0.463286,0.009975,0.00905,46.9,421.9,796.9,4593.8,5203.1,0.463286,796.9,0.132107,0.85334,0.014553,0.01198931
low,capture_20260719201551,capture_20260719201551,node02,16,2026-07-19T20:16:14.261Z,training,-86.57,234.4,0.481827,0.433654,0.134735,0.21706,0.101669,0.112883,93.8,234.4,656.2,3281.2,10265.6,0.433654,93.8,0.518297,0.318055,0.163648,0.0008383187
low,capture_20260719201551,capture_20260719201551,node01,17,2026-07-19T20:16:15.262Z,training,-78.77,796.9,0.228099,0.136107,0.227709,0.495589,0.071796,0.068798,140.6,187.5,796.9,2156.2,9187.5,0.495589,796.9,0.272804,0.616207,0.110989,0.001344463
