timestamp_iso,request_id,node_id,test_label,seq,i2s_rx_mode,i2s_sample_conversion,effective_sample_rate_hz,sample_rate_ok,audio_read_timeouts,dbfs,db_spl,f_peak_full_hz,f_peak_acoustic_hz,tone_1khz_ratio,tone_1khz_local_ratio,tone_1khz_contrast_db,tone_1khz_contrast_hit,tone_1khz_detected,tone_1khz_peak_hz,room_band_total_energy,band_ratio_sum,low_rumble_ratio,band_sub_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,dominant_band_name,dominant_band_ratio,dominant_band_peak_hz,temp_c,rh_percent,notes
2026-07-05T20:00:15.544Z,capture_20260705195958,node04,tone_1khz_100db,11,stereo_raw,shift8,47872.0,True,52,-86.89,33.11,46.9,515.6,0.174267,0.581017,-2.36,False,True,984.4,0.000741,1.0,0.226879,0,0.189598,0.084626,0.447188,0.150505,0.128083,mid,0.447188,515.6,23.89,48.41,
2026-07-05T20:00:16.555Z,capture_20260705195958,node04,tone_1khz_100db,12,stereo_raw,shift8,48591.75,True,49,-86.97,33.03,46.9,234.4,0.081066,0.375315,-4.26,False,False,984.4,0.001375,0.999999,0.306005,0,0.230676,0.372719,0.245732,0.074345,0.076527,low_mid,0.372719,234.4,23.86,48.4,
2026-07-05T20:00:17.547Z,capture_20260705195958,node04,tone_1khz_100db,13,stereo_raw,shift8,47560.31,True,52,-86.63,33.37,187.5,234.4,0.191148,0.97857,-0.09,False,True,984.4,0.001406,1.000001,0.302557,0,0.154305,0.373293,0.303606,0.080076,0.088721,low_mid,0.373293,187.5,23.86,48.4,
2026-07-05T20:00:18.558Z,capture_20260705195958,node04,tone_1khz_100db,14,stereo_raw,shift8,48007.52,True,50,-86.6,33.4,46.9,421.9,0.088573,0.286508,-5.43,False,False,984.4,0.001119,0.999999,0.336165,0,0.283535,0.244146,0.307254,0.07573,0.089334,mid,0.307254,656.2,23.86,48.45,
2026-07-05T20:00:19.558Z,capture_20260705195958,node04,tone_1khz_100db,15,stereo_raw,shift8,48022.4,True,50,-86.38,33.62,46.9,234.4,0.102257,0.439784,-3.57,False,False,984.4,0.001338,0.999999,0.498501,0,0.329856,0.302403,0.202202,0.084908,0.08063,bass,0.329856,46.9,23.86,48.45,
2026-07-05T20:00:20.567Z,capture_20260705195958,node04,tone_1khz_100db,16,stereo_raw,shift8,47755.74,True,51,-86.79,33.21,46.9,281.2,0.067468,0.274077,-5.62,False,False,984.4,0.00127,0.999999,0.526127,0,0.480015,0.189548,0.172287,0.064866,0.093283,bass,0.480015,46.9,23.84,48.49,
2026-07-05T20:00:21.584Z,capture_20260705195958,node04,tone_1khz_100db,17,stereo_raw,shift8,47904.95,True,50,-86.27,33.73,46.9,984.4,0.265637,0.926528,-0.33,False,True,984.4,0.00076,1.0,0.26216,0,0.192809,0.118773,0.452487,0.105567,0.130364,mid,0.452487,984.4,23.84,48.49,
2026-07-05T20:00:22.577Z,capture_20260705195958,node04,tone_1khz_100db,18,stereo_raw,shift8,48384.0,True,56,-86.53,33.47,984.4,984.4,0.19801,0.974157,-0.11,False,True,984.4,0.000772,1.000001,0.17119,0,0.149005,0.220843,0.391318,0.112077,0.126758,mid,0.391318,984.4,23.86,48.51,
2026-07-05T20:00:23.587Z,capture_20260705195958,node04,tone_1khz_100db,19,stereo_raw,shift8,47651.48,True,55,-86.4,33.6,93.8,281.2,0.122064,0.705582,-1.51,False,False,984.4,0.001481,1.0,0.401927,0,0.346091,0.303418,0.204272,0.060056,0.086163,bass,0.346091,93.8,23.86,48.51,
2026-07-05T20:01:31.289Z,capture_20260705200123,node04,low_frequency_test,1,stereo_raw,shift8,49583.87,True,52,-86.37,33.63,93.8,328.1,0.035053,0.16771,-7.75,False,False,937.5,0.001172,1.000002,0.596833,0,0.554555,0.129517,0.133842,0.091693,0.090395,bass,0.554555,93.8,23.97,48.23,
