label,capture_id,sample_index,dataset_split,dbfs_mean,dbfs_std,dbfs_range,f_peak_acoustic_hz_mean,f_peak_acoustic_hz_std,f_peak_acoustic_hz_range,low_rumble_ratio_mean,low_rumble_ratio_std,low_rumble_ratio_range,band_bass_ratio_mean,band_bass_ratio_std,band_bass_ratio_range,band_low_mid_ratio_mean,band_low_mid_ratio_std,band_low_mid_ratio_range,band_mid_ratio_mean,band_mid_ratio_std,band_mid_ratio_range,band_presence_ratio_mean,band_presence_ratio_std,band_presence_ratio_range,band_high_ratio_mean,band_high_ratio_std,band_high_ratio_range,band_bass_peak_hz_mean,band_bass_peak_hz_std,band_bass_peak_hz_range,band_low_mid_peak_hz_mean,band_low_mid_peak_hz_std,band_low_mid_peak_hz_range,band_mid_peak_hz_mean,band_mid_peak_hz_std,band_mid_peak_hz_range,band_presence_peak_hz_mean,band_presence_peak_hz_std,band_presence_peak_hz_range,band_high_peak_hz_mean,band_high_peak_hz_std,band_high_peak_hz_range,dominant_band_ratio_mean,dominant_band_ratio_std,dominant_band_ratio_range,dominant_band_peak_hz_mean,dominant_band_peak_hz_std,dominant_band_peak_hz_range,fft_low_ratio_mean,fft_low_ratio_std,fft_low_ratio_range,fft_mid_ratio_mean,fft_mid_ratio_std,fft_mid_ratio_range,fft_high_ratio_mean,fft_high_ratio_std,fft_high_ratio_range,fft_total_energy_mean,fft_total_energy_std,fft_total_energy_range
low,capture_20260719201551,23,training,-85.4175,1.733095136,4.48,398.45,126.2171244,328.1,0.46805475,0.1626315544,0.456199,0.41722425,0.1453446362,0.408699,0.23663975,0.1919494572,0.463508,0.21171025,0.07054995121,0.189939,0.063764,0.03282425654,0.082011,0.0706625,0.02846137149,0.07657,70.35,23.45,46.9,304.7,107.4177592,281.3,621.075,60.87677615,140.6,2953.15,631.4895902,1453.1,7828.1,2229.660805,5906.3,0.50848475,0.08227594013,0.19748,128.925,116.5768497,281.2,0.4876635,0.1764983889,0.497556,0.4086165,0.1970821085,0.537207,0.10372,0.04820266977,0.126534,0.00189242355,0.0009297401876,0.0024519528
low,capture_20260719201551,24,training,-85.81,1.455077318,3.39,503.925,199.9050697,562.5,0.57247675,0.1691388144,0.430009,0.509613,0.1523024875,0.384884,0.16442,0.05377377779,0.138693,0.18799225,0.1021664558,0.255887,0.06177725,0.02077437897,0.056838,0.0761975,0.01935073541,0.047928,58.625,20.30829572,46.9,328.15,140.65,281.3,773.425,306.4860386,750,2636.7,205.3087553,468.7,7617.175,2227.517953,5859.3,0.5248335,0.1326158022,0.324002,246.125,318.5660087,750,0.59501275,0.1666201338,0.424422,0.3033515,0.1438574031,0.3632,0.10163575,0.03074397749,0.083577,0.00157335025,0.0006068188599,0.001567538
low,capture_20260719201551,25,training,-86.185,1.034081718,2.62,292.975,60.87677615,140.6,0.41494525,0.1466171847,0.38619,0.31738125,0.1115219122,0.307903,0.30278675,0.03396297512,0.095622,0.21849825,0.04824550167,0.132407,0.077099,0.0185855703,0.045271,0.08423525,0.01674209747,0.040864,46.9,0,0,234.375,57.39971145,140.6,785.15,261.8081024,703.2,3058.575,1072.185234,2625,6398.45,1203.577797,3281.3,0.362758,0.07932090138,0.196058,164.075,121.7679838,281.2,0.47243725,0.1398638126,0.318334,0.40354025,0.1219078053,0.263042,0.12402225,0.02831630782,0.070993,0.00118801575,0.0001760732254,0.000452726
low,capture_20260719201551,26,training,-86.3725,0.985631143,2.48,363.3,90.02563524,234.4,0.4351255,0.2737386878,0.678986,0.34153375,0.2638996039,0.66669,0.27540725,0.1168012644,0.299734,0.2385885,0.150035471,0.376541,0.06974825,0.01509102151,0.038564,0.07472225,0.01658968053,0.044836,70.325,40.57329017,93.7,292.975,116.6170522,281.3,597.65,116.6195631,281.3,2519.55,351.3635902,937.5,8589.85,2689.788402,6609.4,0.502275,0.1160145219,0.322309,269.55,309.829094,750,0.4800615,0.2535296772,0.643643,0.40879825,0.254222629,0.631523,0.11114,0.0287183368,0.075591,0.00145470635,0.0003113615913,0.0008175736
low,capture_20260719201551,27,training,-84.9275,3.360456628,8.08,398.45,233.2039504,562.5,0.29471125,0.1332242121,0.36682,0.23010225,0.1483001314,0.383893,0.30913575,0.06297219177,0.177574,0.286667,0.09376130998,0.25973,0.086591,0.04339266659,0.11466,0.087504,0.03839742388,0.101211,70.325,40.57329017,93.7,234.375,57.39971145,140.6,644.55,90.01912297,234.4,3117.2,989.1036725,2484.4,6093.725,740.4101748,1875,0.40113675,0.05824583535,0.160262,316.425,285.8538558,750,0.34827375,0.09368997124,0.232061,0.50980825,0.02560316037,0.067475,0.14191825,0.07079580601,0.187092,0.00185515005,0.001496271334,0.0036059633
low,capture_20260719201551,28,training,-85.5525,2.353883759,5.6,515.625,288.9650184,750,0.3756705,0.2188641959,0.579564,0.276033,0.1951749391,0.462918,0.28544425,0.09637771529,0.249419,0.32907825,0.2564486486,0.640967,0.0509835,0.02934894525,0.079983,0.058461,0.0322558352,0.081247,70.325,40.57329017,93.7,257.8,70.3,140.6,726.575,194.7090698,468.8,3351.575,808.1570837,2015.6,8507.825,2661.87245,5718.7,0.537158,0.1345356086,0.325448,316.425,389.9037405,937.5,0.414485,0.2313096704,0.598074,0.5038635,0.2712200757,0.689864,0.08165125,0.04559162585,0.119654,0.00995531045,0.01484566888,0.0347048202
low,capture_20260719201551,29,training,-85.8575,1.777025253,4.35,433.6,176.5504036,468.7,0.296604,0.1929412782,0.523549,0.24715775,0.1470688994,0.371606,0.35668225,0.2339307047,0.596167,0.2104785,0.05315658062,0.136586,0.08751725,0.04296148326,0.119384,0.09816475,0.04261815339,0.112168,70.325,40.57329017,93.7,304.7,107.4177592,281.3,996.1,422.3614388,1078.1,2953.125,367.6076058,984.4,5964.85,472.6821792,1265.6,0.45164825,0.1738219744,0.435988,222.675,182.6784385,421.9,0.3344645,0.2119073094,0.573061,0.51966325,0.2618078327,0.718825,0.14587275,0.06830305612,0.182487,0.001587721,0.001132401022,0.0028114532
low,capture_20260719201551,30,training,-86.0225,1.63123228,3.88,304.675,52.40226021,140.6,0.261065,0.1322262103,0.349335,0.213529,0.1053329487,0.284857,0.2815735,0.1255743074,0.329168,0.29290975,0.07541363286,0.202019,0.10113025,0.05249166825,0.147866,0.1108575,0.05907227956,0.166642,70.325,40.57329017,93.7,304.675,52.40226021,140.6,820.3,142.5914619,328.2,2648.425,540.0919522,1406.3,8250,2296.629961,6140.6,0.34515975,0.0805981161,0.2066,339.825,218.2729756,609.3,0.28766925,0.1580764347,0.427712,0.55042575,0.210451258,0.533747,0.161905,0.09138488259,0.256412,0.00140428085,0.001146550061,0.0028273783
low,capture_20260719201551,31,training,-85.675,2.203525584,5.19,386.725,38.88742567,93.8,0.3152635,0.1269069048,0.358531,0.26365875,0.1184702135,0.31503,0.34873725,0.2393309381,0.585471,0.200428,0.08546257023,0.23928,0.0850045,0.04171565592,0.109238,0.1021715,0.05025553562,0.130865,70.325,40.57329017,93.7,328.125,87.70177806,234.4,609.375,81.1898816,187.5,2519.55,525.5208773,1312.5,6410.175,1649.770736,4171.9,0.45854875,0.1762231231,0.434756,292.975,194.3255693,515.6,0.3361335,0.1217652909,0.342237,0.51643725,0.1800583966,0.476208,0.14742925,0.07372227805,0.195411,0.0022128482,0.002304636317,0.0054970048
low,capture_20260719201551,32,training,-84.8775,3.568924033,8.61,386.7,90.02563524,234.4,0.23979225,0.1632521676,0.439187,0.2134035,0.1419161478,0.38468,0.2630585,0.1062968971,0.291678,0.27908025,0.01933087319,0.048166,0.1335985,0.07104511489,0.175134,0.11085925,0.03105647856,0.086429,82.05,38.8497426,93.7,304.675,84.51551263,234.4,785.15,345.0771617,843.8,2437.475,344.4526918,843.7,6316.4,1290.689513,3140.6,0.36412175,0.07129495168,0.147413,632.825,480.8966852,1265.6,0.2856305,0.1504766365,0.36767,0.51425125,0.1375826932,0.38446,0.200118,0.09207817638,0.236455,0.000986351,0.0003494489431,0.000953181
